,model,mean,sd,median,mad,lci95,uci95,lci90,uci90,lci80,uci80,lci50,uci50,rhat
train_loss,ENDE_GRU_behavior_catloss,1.1129972276864228,0.36630560741254153,1.052847683429718,0.29679895630098696,0.5585044026374817,1.9140833616256714,0.6190328598022461,1.8215131759643555,0.6746246814727783,1.6379238367080688,0.8319200277328491,1.3441683053970337,0.9993493412876446
val_loss,ENDE_GRU_behavior_catloss,0.49646240787373647,0.09724065124947205,0.4805431514978409,0.0790867561929755,0.3592211604118347,0.7092779278755188,0.3683320879936218,0.6632304787635803,0.37986114621162415,0.6273283958435059,0.41677919030189514,0.5593755841255188,0.9954123053167911
train_f1,ENDE_GRU_behavior_catloss,0.2980973970076,0.05385019162360227,0.2979241758584976,0.04467594996368103,0.20574329793453217,0.38871487975120544,0.2163820117712021,0.37774962186813354,0.2242775559425354,0.3615131676197052,0.2586628198623657,0.3431490361690521,1.025905699609871
val_f1,ENDE_GRU_behavior_catloss,0.30629787708598155,0.055556375697742896,0.3053780049085617,0.04705611254350475,0.2230817675590515,0.39987829327583313,0.22793230414390564,0.3896488547325134,0.23261180520057678,0.3640903830528259,0.254090279340744,0.3512665927410126,1.0194083427277154
train_acc,ENDE_GRU_behavior_catloss,0.7891184239475816,0.03737338390283631,0.7962942123413086,0.0281116678382798,0.6883347630500793,0.8342752456665039,0.7117950916290283,0.8309507966041565,0.7368911504745483,0.8278988003730774,0.7710641026496887,0.8182646632194519,0.9947821319187221
val_acc,ENDE_GRU_behavior_catloss,0.8665347993373871,0.028388087813746583,0.8711083233356476,0.02175015961682355,0.7996289134025574,0.9039999842643738,0.8098183274269104,0.9005717039108276,0.8305439352989197,0.8967527151107788,0.8504005074501038,0.8884263038635254,0.9955367023226257
epochs,ENDE_GRU_behavior_catloss,63.148148148148145,39.48119366655573,67.5,36.35514403292184,2.0,100.0,3.0,100.0,6.0,100.0,19.0,100.0,1.0051069894335172
lookback,ENDE_GRU_behavior_catloss,17.581481481481482,5.49876269010633,19.0,4.305144032921808,2.0,23.0,5.0,23.0,9.0,23.0,15.0,22.0,0.9951529348396724
dropout_rate,ENDE_GRU_behavior_catloss,0.3961111111111109,0.22481422276119556,0.4,0.18579835390946536,0.1,0.9,0.1,0.8,0.1,0.7000000000000001,0.2,0.6000000000000001,1.1223084759681468
neurons_n0,ENDE_GRU_behavior_catloss,31.97222222222222,12.68094148934837,35.0,10.810493827160522,5.0,50.0,10.0,50.0,15.0,50.0,20.0,45.0,1.146193724588786
neurons_n1,ENDE_GRU_behavior_catloss,23.583333333333332,13.095995649083582,20.0,11.036419753086342,5.0,50.0,5.0,50.0,5.0,45.0,15.0,35.0,1.6458039563872118
td_neurons,ENDE_GRU_behavior_catloss,30.88888888888889,12.529988764128614,30.0,10.593004115226288,5.0,50.0,10.0,50.0,15.0,50.0,20.0,40.0,1.3587421146902168
hidden_layers,ENDE_GRU_behavior_catloss,0.8925925925925926,0.8525530471913619,1.0,0.7537448559670791,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.3373330039821543
hidden_n0,ENDE_GRU_behavior_catloss,29.951923076923077,15.127993987229928,32.5,13.356447238658738,5.0,50.0,5.0,50.0,10.0,50.0,15.0,45.0,1.5951923375161492
hidden_n1,ENDE_GRU_behavior_catloss,36.1764705882353,11.374399231772427,40.0,8.972318339100344,5.0,50.0,10.0,50.0,20.0,50.0,30.0,45.0,1.3073746440270801
weights_0,ENDE_GRU_behavior_catloss,2.15,1.073677293861782,2.0,0.8790740740740697,1.0,4.5,1.0,4.5,1.0,4.0,1.5,3.0,1.0298554760738796
weights_2,ENDE_GRU_behavior_catloss,7.1537037037037035,5.972454176604242,5.0,4.681296296296305,1.0,23.0,1.0,20.0,1.0,16.0,3.0,10.0,0.9950225324381065
weights_3,ENDE_GRU_behavior_catloss,3.037037037037037,2.3208577756838613,2.0,1.7711934156378637,1.0,9.0,1.0,8.0,1.0,7.0,1.0,4.0,0.9945148560787471
