,atype,batch_size,dropout_rate,hidden_layers,hidden_n0,hidden_n1,iters,learning_rate,lookback,loss,max_epochs,mtype,n_outputs,neurons_n,patience,predictor,weights_0,weights_1,weights_2,weights_3,epochs,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc
0,VRNN,512,0.8,2,50,50,1,0.001,1,False,50,GRU,1,35,30,behavior,2.0,1,2,3,50.0,0.79636150598526,0.3968534469604492,0.7587578892707825,0.5883790254592896,0.4118216335773468,0.8341871500015259
1,VRNN,512,0.2,1,40,25,1,0.001,19,False,50,GRU,1,5,30,behavior,5.0,1,4,5,50.0,1.0026084184646606,0.42858201265335083,0.798980712890625,0.5820597410202026,0.42286327481269836,0.8725505471229553
2,VRNN,512,0.4,1,45,50,1,0.001,11,False,50,GRU,1,35,30,behavior,3.0,1,22,1,15.0,0.8707321286201477,0.42360174655914307,0.7807685732841492,0.571350634098053,0.42918023467063904,0.855819046497345
3,VRNN,512,0.6000000000000001,1,25,30,1,0.001,3,False,50,GRU,1,40,30,behavior,3.0,1,2,6,50.0,0.9899654984474182,0.4144049882888794,0.7621521353721619,0.5723971128463745,0.4274825155735016,0.8322597742080688
4,VRNN,512,0.7000000000000001,0,5,40,1,0.001,19,False,50,GRU,1,30,30,behavior,5.0,1,12,1,50.0,0.8961693048477173,0.43449828028678894,0.7930105328559875,0.5852476358413696,0.4203595519065857,0.8656529188156128
5,VRNN,512,0.8,2,50,50,1,0.001,1,False,50,GRU,1,35,30,behavior,2.0,1,2,3,50.0,0.7962141633033752,0.3969235122203827,0.7592501640319824,0.5883706212043762,0.4118216335773468,0.8341871500015259
6,VRNN,512,0.2,1,40,25,1,0.001,19,False,50,GRU,1,5,30,behavior,5.0,1,4,5,50.0,1.0089927911758423,0.42743873596191406,0.7935929894447327,0.5821323394775391,0.42518508434295654,0.8691017627716064
7,VRNN,512,0.4,1,45,50,1,0.001,11,False,50,GRU,1,35,30,behavior,3.0,1,22,1,50.0,0.8590570092201233,0.42966851592063904,0.771784782409668,0.5735006928443909,0.42627212405204773,0.8464739918708801
8,VRNN,512,0.6000000000000001,1,25,30,1,0.001,3,False,50,GRU,1,40,30,behavior,3.0,1,2,6,50.0,0.9902889132499695,0.4149819314479828,0.7626203894615173,0.5724586844444275,0.42728254199028015,0.8322597742080688
9,VRNN,512,0.7000000000000001,0,5,40,1,0.001,19,False,50,GRU,1,30,30,behavior,5.0,1,12,1,50.0,0.8913108110427856,0.4377514123916626,0.7892246246337891,0.5844537019729614,0.42122334241867065,0.8642420172691345
10,VRNN,512,0.8,2,50,50,1,0.001,1,False,50,GRU,1,35,30,behavior,2.0,1,2,3,50.0,0.7967949509620667,0.3959487974643707,0.7605012655258179,0.5885336399078369,0.4118216335773468,0.8341871500015259
11,VRNN,512,0.2,1,40,25,1,0.001,19,False,50,GRU,1,5,30,behavior,5.0,1,4,5,50.0,1.0094985961914062,0.4279398024082184,0.7997087836265564,0.584595263004303,0.42286327481269836,0.8725505471229553
12,VRNN,512,0.4,1,45,50,1,0.001,11,False,50,GRU,1,35,30,behavior,3.0,1,22,1,50.0,0.8608110547065735,0.42833414673805237,0.7750982046127319,0.5742270946502686,0.4251554012298584,0.8510287404060364
13,VRNN,512,0.6000000000000001,1,25,30,1,0.001,3,False,50,GRU,1,40,30,behavior,3.0,1,2,6,50.0,0.9930428862571716,0.41261738538742065,0.764671802520752,0.572475790977478,0.42728254199028015,0.8322597742080688
14,VRNN,512,0.7000000000000001,0,5,40,1,0.001,19,False,50,GRU,1,30,30,behavior,5.0,1,12,1,50.0,0.8950229287147522,0.4348418414592743,0.7924280762672424,0.5832161903381348,0.42344650626182556,0.8667502999305725
15,VRNN,512,0.8,2,50,50,1,0.001,1,False,50,GRU,1,35,30,behavior,2.0,1,2,3,50.0,0.7926955223083496,0.3998262882232666,0.7620600461959839,0.5884094834327698,0.4118216335773468,0.8341871500015259
16,VRNN,512,0.2,1,40,25,1,0.001,19,False,50,GRU,1,5,30,behavior,5.0,1,4,5,50.0,1.0021705627441406,0.4327463209629059,0.7917000651359558,0.5808756351470947,0.4235914647579193,0.8680043816566467
17,VRNN,512,0.4,1,45,50,1,0.001,11,False,50,GRU,1,35,30,behavior,3.0,1,22,1,50.0,0.8580355048179626,0.43062686920166016,0.7729120254516602,0.5741485953330994,0.42688074707984924,0.8503219485282898
18,VRNN,512,0.6000000000000001,1,25,30,1,0.001,3,False,50,GRU,1,40,30,behavior,3.0,1,2,6,50.0,0.9905387163162231,0.41335803270339966,0.760970413684845,0.5726580619812012,0.4274825155735016,0.8322597742080688
19,VRNN,512,0.7000000000000001,0,5,40,1,0.001,19,False,50,GRU,1,30,30,behavior,5.0,1,12,1,50.0,0.8971023559570312,0.43183910846710205,0.7925736904144287,0.5845282077789307,0.4182814359664917,0.8708261251449585
20,VRNN,512,0.5,0,15,5,1,0.001,7,False,50,GRU,1,50,30,behavior,3.5,1,18,10,50.0,1.2977792024612427,0.4250502288341522,0.7734876871109009,0.5758965015411377,0.4201507270336151,0.8432924747467041
21,VRNN,512,0.30000000000000004,2,15,10,1,0.001,15,False,50,GRU,1,20,30,behavior,4.0,1,16,8,50.0,1.1963897943496704,0.41630426049232483,0.7831751108169556,0.5782628059387207,0.4237252175807953,0.8619137406349182
22,VRNN,512,0.5,1,30,15,1,0.001,23,False,50,GRU,1,50,30,behavior,4.0,1,8,8,50.0,1.040001392364502,0.4287257194519043,0.8179853558540344,0.5794644951820374,0.433962345123291,0.8867692351341248
23,VRNN,512,0.30000000000000004,0,30,15,1,0.001,8,False,50,GRU,1,15,30,behavior,1.0,1,19,8,50.0,1.0346345901489258,0.4272642731666565,0.7668564915657043,0.576028048992157,0.42374858260154724,0.8380845189094543
24,VRNN,512,0.30000000000000004,2,15,35,1,0.001,7,False,50,GRU,1,45,30,behavior,2.5,1,25,7,50.0,1.1494320631027222,0.421308696269989,0.7726512551307678,0.575183629989624,0.4210621118545532,0.8439208269119263
25,VRNN,512,0.5,1,20,45,1,0.001,14,False,50,GRU,1,20,30,behavior,3.5,1,7,10,50.0,1.1952167749404907,0.41842663288116455,0.7772467136383057,0.5715362429618835,0.42759740352630615,0.8575569987297058
26,VRNN,512,0.5,1,20,45,1,0.001,14,False,50,GRU,1,20,30,behavior,4.0,1,9,10,50.0,1.247562289237976,0.41574153304100037,0.7741315960884094,0.571317195892334,0.42821526527404785,0.8553343415260315
27,VRNN,512,0.1,0,35,45,1,0.001,16,False,50,GRU,1,20,30,behavior,4.0,1,8,9,50.0,1.1469095945358276,0.4340679943561554,0.7817744612693787,0.5789731740951538,0.4229370355606079,0.8590841889381409
28,VRNN,512,0.4,2,10,45,1,0.001,13,False,50,GRU,1,15,30,behavior,4.5,1,15,4,50.0,1.07773756980896,0.40173622965812683,0.7761970162391663,0.5788108110427856,0.42052754759788513,0.8608992099761963
29,VRNN,512,0.5,2,20,35,1,0.001,9,False,50,GRU,1,25,30,behavior,2.5,1,14,2,50.0,0.8347130417823792,0.41750195622444153,0.7735974192619324,0.574362576007843,0.42675068974494934,0.8515777587890625
